Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/08/18 00:00:00;2021/08/18 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;14.0;14.4083333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/19 00:00:00;2021/08/19 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;5.0;5.025;µg-m3;100.0;100;100.0;R;1;45.1619;5.7356
2021/08/19 00:00:00;2021/08/19 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;18.0;17.5304347826;µg-m3;96.0;100;96.0;A;1;45.18069;5.720625
2021/08/20 00:00:00;2021/08/20 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.4;8.3958333333;µg-m3;100.0;100;100.0;R;1;45.1619;5.7356
2021/08/20 00:00:00;2021/08/20 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;26.0;26.1;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/21 00:00:00;2021/08/21 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.8;8.7916666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/21 00:00:00;2021/08/21 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;26.0;26.1291666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/22 00:00:00;2021/08/22 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;4.1;4.1125;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/22 00:00:00;2021/08/22 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;15.0;14.6;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/08/23 00:00:00;2021/08/23 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;3.5;3.5083333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/23 00:00:00;2021/08/23 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;16.0;15.8625;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/24 00:00:00;2021/08/24 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.4;8.3708333333;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/24 00:00:00;2021/08/24 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;26.0;26.275;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/25 00:00:00;2021/08/25 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;6.9;6.8541666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/25 00:00:00;2021/08/25 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;27.0;27.3916666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/26 00:00:00;2021/08/26 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;7.5;7.5375;µg-m3;100.0;100;100.0;R;1;45.1619;5.7356
2021/08/26 00:00:00;2021/08/26 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;21.0;21.4458333333;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/08/27 00:00:00;2021/08/27 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;4.2;4.1791666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/27 00:00:00;2021/08/27 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;18.0;17.875;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/28 00:00:00;2021/08/28 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;4.0;4.025;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/28 00:00:00;2021/08/28 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;15.0;15.2916666667;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/08/29 00:00:00;2021/08/29 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;4.0;3.9666666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/29 00:00:00;2021/08/29 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;14.0;14.3833333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/08/30 00:00:00;2021/08/30 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.1;9.0956521739;µg-m3;96.0;100;96.0;R;1;45.1619;5.7356
2021/08/30 00:00:00;2021/08/30 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;25.0;24.825;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/08/31 00:00:00;2021/08/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;11.0;10.6875;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/08/31 00:00:00;2021/08/31 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;33.0;33.3958333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/09/01 00:00:00;2021/09/01 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;11.0;10.9333333333;µg-m3;100.0;100;100.0;R;1;45.1619;5.7356
2021/09/01 00:00:00;2021/09/01 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;36.0;35.775;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/09/02 00:00:00;2021/09/02 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.0;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/09/02 00:00:00;2021/09/02 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;36.0;35.5083333333;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/09/03 00:00:00;2021/09/03 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.5;9.4916666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/09/03 00:00:00;2021/09/03 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;37.0;36.6416666667;µg-m3;100.0;100;100.0;R;1;45.18069;5.720625
2021/09/04 00:00:00;2021/09/04 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;7.4;7.3541666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/09/04 00:00:00;2021/09/04 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;29.0;28.8541666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
2021/09/05 00:00:00;2021/09/05 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15043;Grenoble Les Frenes;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.2;8.1666666667;µg-m3;100.0;100;100.0;A;1;45.1619;5.7356
2021/09/05 00:00:00;2021/09/05 23:59:59;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG02;ZAG GRENOBLE;FR15046;Grenoble Boulevards;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. journalière;24.0;24.3916666667;µg-m3;100.0;100;100.0;A;1;45.18069;5.720625
