autobus_autocars_critair,autobus_autocars_horaires,date_debut,deux_rm_critair,deux_rm_horaires,gid,id,name,objectid,one_way,osm_id,pl_critair,pl_horaires,ref,url_arrete,url_site,vp_critair,vp_horaires,vul_critair,vul_horaires,zfe_derogation,publisher_forme_juridique,publisher_nom,publisher_siren,publisher_zfe_id,OBJECTID,Shape_Length,date_fin,url_site_information,SHAPE_Length,geo_point_2d,proprietaire_vehicule
,24/7,2022-07-01,,24/7,150253.0,motorway_link,,6229.0,1.0,479229522.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,131.0,motorway,,60073.0,1.0,11660416.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,94615.0,motorway,,60562.0,1.0,367645021.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,25373.0,primary,Avenue du Martinet,54174.0,1.0,22953435.0,,24/7,D 65,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,68858.0,primary_link,,1382.0,1.0,137126631.0,,24/7,D 65,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,128704.0,motorway,,68831.0,1.0,286822935.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,182404.0,motorway,,78095.0,1.0,700091315.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,108377.0,motorway,,49037.0,1.0,223687334.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,14197.0,motorway,,25463.0,1.0,4296601.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,2324.0,motorway,,27556.0,1.0,16922541.0,,24/7,A 709,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,87642.0,trunk,,45554.0,1.0,96926329.0,,24/7,D 5,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
,24/7,2022-07-01,,24/7,79369.0,trunk,,45319.0,1.0,96926323.0,,24/7,D 5,https://www.montpellier3m.fr/sites/default/files/arrete_zfe.pdf,https://www.montpellier3m.fr/vivre-transport/zone-faibles-emissions,,24/7,,24/7,transit,Métropole,Montpellier Méditerranée Métropole,243400017,MONTPELLIER,,,,,,,
