Name,autobus_autocars_critair,autobus_autocars_horaires,date_debut,date_fin,deux_rm_critair,deux_rm_horaires,id,pl_critair,pl_horaires,url_arrete,url_site_information,vp_critair,vp_horaires,vul_critair,vul_horaires,publisher_forme_juridique,publisher_nom,publisher_siren,publisher_zfe_id,geo_point_2d,url_site,OBJECTID,Shape_Area,Shape_Length,SHAPE_Area,SHAPE_Length,date_fin_init,date_maj,etiquette,gid,nom,gml_id,creation_date,modification_date,proprietaire_vehicule,taxis_critair,url_site_informations,obj_datec,obj_datem,objectid,shape_area,shape_len,autobus_critair,autobus_horaires,cdate,mdate
,V3,Mo-Su 00:00-23:59,2024-01-31,2029-12-31,,<Nul>,200030195-ZFE-003,V3,24/7,https://www.nicecotedazur.org/uploads/media_items/arrete-nca-creation-zfe.original.pdf,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,V4,24/7,V4,24/7,Métropole,Métropole Nice Côte d'Azur,200030195,NICE,<Nul>,https://nicecotedazur.org/environnement/qualit%C3%A9-de-vie/qualit%C3%A9-de-l-air/zone-%C3%A0-faibles-%C3%A9missions-zfe,9.0,0.0003037942418218066,0.18583287048586117,,,,<Nul>,<Nul>,,<Nul>,,,,<Nul>,,,<Nul>,<Nul>,,,,,,,
,V2,24/7,2028-01-01,,V2,24/7,67365-ZFE-006,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V2,24/7,V2,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.54682892462566, 'lon': 7.708190085263952}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V4,24/7,2024-01-01,,V4,24/7,246700488-ZFE-002,V4,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V4,24/7,V4,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.572473953597104, 'lon': 7.717685731311388}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V2,24/7,2028-01-01,,V2,24/7,67482-ZFE-004,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V2,24/7,V2,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.57123483335167, 'lon': 7.767767881036559}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V3,24/7,2027-01-01,,V3,24/7,246700488-ZFE-003,V3,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V3,24/7,V3,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.572473953597104, 'lon': 7.717685731311388}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V2,24/7,2028-01-01,,V2,24/7,67447-ZFE-005,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V2,24/7,V2,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.61197635239291, 'lon': 7.74639085085426}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V5,24/7,2023-01-01,,V5,24/7,246700488-ZFE-001,V5,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V5,24/7,V5,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.572473953597104, 'lon': 7.717685731311388}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V2,24/7,2028-01-01,,V2,24/7,67212-ZFE-007,V2,24/7,http://storage.creacast.com/strasbourg-vod/documents/20211015_EM_delib.pdf,https://zfe.strasbourg.eu/,V2,24/7,V2,24/7,Métropole,Eurométropole de Strasbourg,246700488,STRASBOURG,"{'lat': 48.556543615102825, 'lon': 7.644672648279629}",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-01-01,2025-12-31,,,242100410-ZFE-001,,,https://www.dijon-metropole.fr/dijon-metropole-a-votre-service/qualite-de-lair/zone-a-faibles-emissions-mobilite/,https://www.dijon-metropole.fr/dijon-metropole-a-votre-service/qualite-de-lair/zone-a-faibles-emissions-mobilite/,,,,,Métropole,Dijon Métropole,242100410,DIJON,"{'lat': 47.32137843381804, 'lon': 5.038586913828735}",,,,,,,,,,,,,,,,,,,,1.0,41237028.4296601,29195.153971449403,,,,
,V5,24/7,2022-09-01,2032-08-31,V5,24/7,200054807-ZFE-001,V5,24/7,https://datamedia.ampmetropole.fr/documents/ZFE/Arretes-ZFE-Marseille.pdf,https://ampmetropole.fr/missions/strategie-environnementale/qualite-de-lair/zone-a-faibles-emissions-mobilite-zfe-m/,V5,24/7,V5,24/7,Métropole,Métropole d'Aix-Marseille-Provence,200054807,MARSEILLE-AIX EN PROVENCE,"{'lat': 43.294336, 'lon': 5.377884}",,,,,,,,,,,,,,,,,,,,,,,,,,
,V4,24/7,2023-09-01,2032-08-31,V4,24/7,200054807-ZFE-002,V4,24/7,https://datamedia.ampmetropole.fr/documents/ZFE/Arretes-ZFE-Marseille.pdf,https://ampmetropole.fr/missions/strategie-environnementale/qualite-de-lair/zone-a-faibles-emissions-mobilite-zfe-m/,V4,24/7,V4,24/7,Métropole,Métropole d'Aix-Marseille-Provence,200054807,MARSEILLE-AIX EN PROVENCE,"{'lat': 43.294336, 'lon': 5.377884}",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022-01-31,2024-12-31,,,244200770-ZFE-001,NC,24/7,https://fr.calameo.com/read/000544113e25e9f1669fb,,,,NC,24/7,Métropole,Saint-Étienne Métropole,244200770,SAINT-ETIENNE,,https://www.saint-etienne-metropole.fr/preserver-recycler/qualite-de-lair/zone-faibles-emissions-mobilite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-01-01,2026-12-31,,,244200770-ZFE-002,V4,24/7,https://fr.calameo.com/read/000544113e25e9f1669fb,,,,V4,24/7,Métropole,Saint-Étienne Métropole,244200770,SAINT-ETIENNE,,https://www.saint-etienne-metropole.fr/preserver-recycler/qualite-de-lair/zone-faibles-emissions-mobilite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2027-01-01,,,,244200770-ZFE-003,V3,24/7,https://fr.calameo.com/read/000544113e25e9f1669fb,,,,V3,24/7,Métropole,Saint-Étienne Métropole,244200770,SAINT-ETIENNE,,https://www.saint-etienne-metropole.fr/preserver-recycler/qualite-de-lair/zone-faibles-emissions-mobilite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2025-01-01,2999-12-31,NC,Mo-Su 00:00-23:59; PH off,243300316-ZFE-001,NC,Mo-Su 00:00-23:59; PH off,https://participation.bordeaux-metropole.fr/rails/active_storage/disk/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdDVG9JYTJWNVNTSWhaV1poWkRObGJqZHRaRzlyWVRCM2RqSmpiWE00ZHpSdk0ybDRhd1k2QmtWVU9oQmthWE53YjNOcGRHbHZia2tpQVpOcGJteHBibVU3SUdacGJHVnVZVzFsUFNKQ1RWOWFSa1ZmUVhKeVpYUmxJRTRsTTBZeU5FMUZWRUZCU2xCUU1ERXlOREJmTWpCRVJVTXlNREkwTG5Ca1ppSTdJR1pwYkdWdVlXMWxLajFWVkVZdE9DY25RazFmV2taRlgwRnljaVZETXlWQlFYUWxRek1sUVRrbE1qQk9KVU15SlVJd01qUk5SVlJCUVVwUVVEQXhNalF3WHpJd1JFVkRNakF5TkM1d1pHWUdPd1pVT2hGamIyNTBaVzUwWDNSNWNHVkpJaFJoY0hCc2FXTmhkR2x2Ymk5d1pHWUdPd1pVT2hGelpYSjJhV05sWDI1aGJXVTZDbXh2WTJGcyIsImV4cCI6IjQzMjQtMTItMjNUMTA6MzI6NDEuOTIwWiIsInB1ciI6ImJsb2Jfa2V5In19--97c6abd0774486ea17424651933f679db79bdebe/BM_ZFE_Arr%C3%AAt%C3%A9%20N%C2%B024METAAJPP01240_20DEC2024.pdf,,NC,Mo-Su 00:00-23:59; PH off,NC,Mo-Su 00:00-23:59; PH off,Métropole,Bordeaux Métropole,243300316,BORDEAUX,"{'lat': 44.83597999895595, 'lon': -0.5871811807258179}",https://sedeplacer.bordeaux-metropole.fr/en-voiture/zfe-ce-quil-faut-savoir,,,,,,,,,1.0,,,,,,,,,,,,,NC,Mo-Su 00:00-23:59; PH off,2025-02-17T23:00:00+00:00,2025-02-17T23:00:00+00:00
